track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:3Ymi51lilmxnc9eRnfi32D,0.488,0.364,7.0,-15.954,1.0,0.0321,0.0714,0.0,0.0756,0.544,79.707,4.0
spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4.0,-7.499,0.0,0.0487,0.23,0.0,0.0951,0.888,83.014,4.0
spotify:track:4pCSXZwffXEmxYuHAzVIXQ,0.706,0.695,2.0,-10.526,1.0,0.411,0.226,0.0,0.0496,0.972,181.337,4.0
spotify:track:1kpbM1hlD3sQ2rDKbe2guE,0.672,0.393,9.0,-8.739,0.0,0.0477,0.551,1.05e-05,0.105,0.319,130.086,4.0
spotify:track:6dGWq08LXuIw6T2oUeHECh,0.68,0.543,5.0,-14.876,1.0,0.141,0.857,0.000116,0.0881,0.796,111.62,4.0
spotify:track:1UgKjjafmYDSgJ66NbIcBV,0.553,0.594,7.0,-9.03,1.0,0.0279,0.114,0.0,0.743,0.841,113.506,4.0
spotify:track:4SyowQi18ym4zJGJDBnsTj,0.705,0.806,9.0,-3.607,1.0,0.0309,0.0132,0.00428,0.0701,0.734,103.383,4.0
spotify:track:56qykFnmErHuUzt7FwAlAc,0.59,0.874,6.0,-2.583,0.0,0.0263,0.0179,6.46e-06,0.134,0.607,125.018,4.0
spotify:track:1Jrn6agPxzgRMh4SKfLz7A,0.734,0.927,8.0,-4.244,0.0,0.042,0.076,0.00134,0.0465,0.901,118.039,4.0
spotify:track:1qk9ujVgudgU8CyhKOx8ji,0.864,0.515,0.0,-6.967,1.0,0.0367,0.571,7.92e-05,0.0947,0.755,129.048,4.0
spotify:track:4KPq1367Nd9DtkmSmPsycY,0.534,0.327,4.0,-16.789,1.0,0.0335,0.0503,0.00213,0.281,0.767,139.867,4.0
spotify:track:0GmtIUZe8STZOT6jDBC69l,0.483,0.676,9.0,-10.271,1.0,0.0323,0.505,6.32e-05,0.297,0.502,116.418,4.0
spotify:track:5jWZR3cKUChstrHpNnTPCS,0.471,0.574,11.0,-11.266,1.0,0.0509,0.802,2.55e-06,0.0931,0.661,131.892,4.0
spotify:track:1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5.0,-8.237,1.0,0.0432,0.64,0.0,0.169,0.476,91.873,4.0
spotify:track:6rBgZvSsyJrk5ZXtKc8mcf,0.485,0.721,5.0,-7.84,0.0,0.0348,0.479,0.0,0.67,0.88,136.892,4.0
spotify:track:4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,2.0,-1.203,1.0,0.0792,0.107,1.45e-06,0.129,0.67,114.003,4.0
spotify:track:6FmtB3SLE6eqb24VfMnH4z,0.735,0.859,6.0,-3.845,0.0,0.0346,0.00289,3.95e-06,0.111,0.758,126.587,4.0
spotify:track:1lItf5ZXJc1by9SbPeljFd,0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,4.0
spotify:track:0WfKDYeUAoLA3vdvLKKWMW,0.851,0.806,4.0,-4.618,1.0,0.0786,0.12,1.33e-06,0.121,0.776,119.001,4.0
spotify:track:3q2gRjU2UdOYRDY1p4cNHr,0.536,0.606,7.0,-5.364,1.0,0.0355,0.103,1.08e-05,0.255,0.719,146.425,4.0
spotify:track:2RMeGXGofxpGolBUyvTnZf,0.448,0.312,1.0,-14.926,1.0,0.0552,0.84,3.8e-06,0.0848,0.403,158.27,3.0
spotify:track:6j4cO3gMhTuG9GTmdUX7op,0.719,0.639,8.0,-9.229,1.0,0.0376,0.797,1.43e-05,0.075,0.727,128.272,1.0
spotify:track:2YGFjCtEo5hhNutCO8RdQf,0.662,0.891,6.0,-4.65,1.0,0.0291,0.0128,0.0,0.448,0.823,123.728,4.0
spotify:track:1Co9NGodpCCvWuIfe0PzIS,0.748,0.551,5.0,-5.772,1.0,0.0907,0.327,1.43e-05,0.096,0.334,104.175,4.0
spotify:track:0hKF8N8aflF1uDzEEnPr2j,0.683,0.751,5.0,-10.184,1.0,0.0346,0.0681,8.36e-06,0.248,0.841,103.036,4.0
spotify:track:76cy1WJvNGJTj78UqeA5zr,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.028,4.0
spotify:track:6bH2owMgMDNW6zygbotS49,0.804,0.801,0.0,-4.892,1.0,0.0305,0.275,3.29e-05,0.215,0.826,98.12,4.0
spotify:track:5U2m76qAMdr3gXI0g6ptlG,0.349,0.795,7.0,-4.133,0.0,0.0758,0.0102,0.000138,0.0812,0.542,148.985,1.0
