track_id,track_name,album_id,disc_number,track_number,duration_ms,preview_url,is_explicit,popularity,isrc
spotify:track:59mUgn4E4DWcB2lh5oRG2I,If You Can't Give Me Love - 2017 Remaster,spotify:album:1F8Hmjm8xJC1OhSEMn7pDR,1,6,232994,,False,0,UKKP21700074
spotify:track:6YndZBGmLySgsVScckWkmO,Take Yourself Home,spotify:album:0F9bpInUaHGru63OHqBuQ8,1,1,249369,,False,0,AUUM72000197
spotify:track:3yDhZq8f17SmumVmEyCaRN,Give It Up,spotify:album:52BJ1S5NOv7eFD6ZFDZga2,1,3,254240,https://p.scdn.co/mp3-preview/bc1799859837b5c829f3037bfefdb162b6309ba2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USSM19801505
spotify:track:4X8KnalmdKJE4C0vMb8CmD,Homecoming,spotify:album:5BNmZXVJX3h8WbtXyRTRln,1,3,238733,https://p.scdn.co/mp3-preview/7ed0314db4d00d664e339aecad532e5d4d87cb77?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,USSM10803206
spotify:track:5ibhWB91OHgTVVwtVFMLKP,Funhouse - Main Version - Clean,spotify:album:0OHvyFSN4W0fjJ7CiehVMB,1,3,203933,https://p.scdn.co/mp3-preview/87a307e2a1720fe3117937014ff57a02b400e3ca?cid=9950ac751e34487dbbe027c4fd7f8e99,False,24,USLF20800185
spotify:track:2h1IPjP471JJRSShTHRUhi,Dangerous Woman,spotify:album:4lVR2fg3DAUQpGVJ6DciHW,1,2,235946,,False,0,USUM71601826
spotify:track:0IRHUlQ9XCp5aG9NIruLu2,Abergavenny,spotify:album:6MLD7tcwokFlJ4Nu048flm,3,21,168000,https://p.scdn.co/mp3-preview/638a6897aed19ffcfc801246e8d441abdf187282?cid=9950ac751e34487dbbe027c4fd7f8e99,False,33,GBUM70700737
spotify:track:71kj6vbwfqjThqsDxhtYPE,That's All You Gotta Do,spotify:album:7B4ewUWVdSC9yuFGiFWuem,1,16,145480,https://p.scdn.co/mp3-preview/30a66824d7a02c341dd71770f01e573f3a571826?cid=9950ac751e34487dbbe027c4fd7f8e99,False,9,DEG320701716
spotify:track:4oX4WNqPhgKQrl5W4tdt7V,Its Alright,spotify:album:7IgYFMrRiybuW2T85jklrC,1,1,213360,https://p.scdn.co/mp3-preview/1e9a3084e727911ed65417969a25ec016a41aa81?cid=9950ac751e34487dbbe027c4fd7f8e99,False,44,AUMU00200882
spotify:track:0HoMdjB1XwwMlyPfTV7DEj,Metal Guru,spotify:album:3Dg3quPRLDCsEqnzgPl6PE,1,1,149786,https://p.scdn.co/mp3-preview/9055dfa1f3fbaa924155e1185c0606ef0e34c525?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,GBAFR7210009
spotify:track:37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,spotify:album:3fzHLg5RfRXzQlHlR4F7JG,1,1,246520,https://p.scdn.co/mp3-preview/0a79f228240060a2a0d8bbe28465f6a3ade09604?cid=9950ac751e34487dbbe027c4fd7f8e99,False,74,GBAAA8700010
spotify:track:6F8MwPCU40qIrl605yp9dP,Paper In Fire,spotify:album:0vMm7ACFW8V1dY4ETr0LNN,1,1,231200,,False,0,USJM18700001
spotify:track:6oDPg7fXW3Ug3KmbafrXzA,Wrecking Ball,spotify:album:1aUeYy0hXu0KBuJ5To0hS0,1,1,223240,,False,0,USRC11301214
spotify:track:1PZ5mBtpRXZj8aMgQQYcro,Deep End,spotify:album:2uNFpEVey5RsxzTdoDmjiz,1,4,208840,https://p.scdn.co/mp3-preview/3a00988da9b5535ea3edb406b4997a17a92cd3b8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,35,GBAHS1600022
spotify:track:4bT2zLVv2T4GiK9q9KtI0v,Stay The Night - Featuring Hayley Williams Of Paramore,spotify:album:7iC7iQaeRrG33H6VInfl00,1,11,217346,https://p.scdn.co/mp3-preview/a00d28f38102e5ab39bcfa66d4a912ad9808701a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,USUM71311478
spotify:track:34KTEhpPjq6IAgQg2yzJAL,Californication,spotify:album:0fLhefnjlIV3pGNF9Wo8CD,1,6,329733,https://p.scdn.co/mp3-preview/0fd595c5b63db10f4a99683f8248ea5d13700683?cid=9950ac751e34487dbbe027c4fd7f8e99,False,63,USWB19900690
spotify:track:4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,spotify:album:7tB40pGzj6Tg0HePj2jWZt,1,1,122066,https://p.scdn.co/mp3-preview/61dc76538204d41f88210db47901afea4ed885fa?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,GBUM71029618
spotify:track:3Ymi51lilmxnc9eRnfi32D,My Island Home,spotify:album:56hiT6YRCDxQZGhA8vzqhW,1,5,297800,https://p.scdn.co/mp3-preview/591dc2148a8e50a8d3a763edd3be31c62dac961c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,47,AUFE08700003
spotify:track:0gPQTLaqHDgdupKEok7J2x,7 Days,spotify:album:5TedEgCbtmvDnXzUtXEFJY,1,4,235133,https://p.scdn.co/mp3-preview/bcbdafe3037ed6cfc085f3b1b72bc511a70d6183?cid=9950ac751e34487dbbe027c4fd7f8e99,False,74,GBAWV9902019
spotify:track:4pCSXZwffXEmxYuHAzVIXQ,Shoop Shoop Diddy Wop Cumma Cumma Wang Dang,spotify:album:2YI0nSvfqdSmRteWw26PDE,1,1,159184,https://p.scdn.co/mp3-preview/aa5b45093725e8863f1f947253aeadf8e081f3df?cid=9950ac751e34487dbbe027c4fd7f8e99,False,28,NZWM02000127
spotify:track:1kpbM1hlD3sQ2rDKbe2guE,Regardless,spotify:album:4kZKz4ZQCnuKWV6MqOR2H2,1,6,273493,https://p.scdn.co/mp3-preview/026c34f6017a004ded2d05abe830509f126f1842?cid=9950ac751e34487dbbe027c4fd7f8e99,False,30,AUUM71500874
spotify:track:6dGWq08LXuIw6T2oUeHECh,Convoy,spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY,1,1,230600,https://p.scdn.co/mp3-preview/6a093f1c5ce5e657d58b02ee7e6ab7824dc9132b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USPR37500034
spotify:track:1UgKjjafmYDSgJ66NbIcBV,Pretty Flamingo,spotify:album:0zwLBIFXdXAEJnPmNVhrV0,1,1,150106,,False,0,GBAYE6600051
spotify:track:4SyowQi18ym4zJGJDBnsTj,You Know I'm No Good,spotify:album:6GJCGWfI95aeRsdtVB52vc,1,2,256946,,False,0,GBUM70603488
spotify:track:56qykFnmErHuUzt7FwAlAc,Turn Around (feat. Ne-Yo),spotify:album:5hLWqk2l9tsRN0zICJBxsQ,1,1,232385,https://p.scdn.co/mp3-preview/780a5d3812d4aa347cc33d0671a691337be91fcf?cid=9950ac751e34487dbbe027c4fd7f8e99,False,31,GBAYE1201089
spotify:track:1Jrn6agPxzgRMh4SKfLz7A,Morning After Dark (Featuring Nelly Furtado & SoShy),spotify:album:0oLeI4xFJnOBMbQJH6TgEs,1,8,231960,,False,0,USUM70907072
spotify:track:1qk9ujVgudgU8CyhKOx8ji,Somebody That I Used To Know,spotify:album:6EMxWaM803hd4sPsJ6PkcA,1,3,244893,https://p.scdn.co/mp3-preview/8721423c664c8ec64df22cd2a85711437431a98c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,67,AUZS21100040
spotify:track:4KPq1367Nd9DtkmSmPsycY,Matthew & Son - Stereo Version,spotify:album:1EOnmB8FWY9Fn8p7RrRxkx,1,1,161840,,False,0,GBF076620660
spotify:track:0GmtIUZe8STZOT6jDBC69l,Heaven & Hell - US Single Version,spotify:album:7kV1uhqaH7vVBZ0QTPVZxx,1,13,162106,https://p.scdn.co/mp3-preview/78120f23c3f7b8137b3612280ae40cb3351022c2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,11,AUAP06700039
spotify:track:5jWZR3cKUChstrHpNnTPCS,You Are The Sunshine Of My Life,spotify:album:5x7vXXWapy8cUmdSuwpUy1,1,6,177306,,False,0,USMO17282852
spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,spotify:album:3TJz2UBNYJtlEly0sPeNrQ,1,1,201000,https://p.scdn.co/mp3-preview/2e2100af8cd386f628684caafb50662b67656de0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,87,GBUM71704089
spotify:track:6rBgZvSsyJrk5ZXtKc8mcf,You're the One,spotify:album:4oa2hZ1r8L8Egf9ec6ncCM,1,12,143834,https://p.scdn.co/mp3-preview/8e5cc06982217e33bd96f0f2e4392b4d6fc847ac?cid=9950ac751e34487dbbe027c4fd7f8e99,False,22,GBAJE6500257
spotify:track:4UMTp91LHhvW33ol9ZQH0Q,We Made You,spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z,1,9,269613,https://p.scdn.co/mp3-preview/fab146bc463de01395b2168ac9de034c46070c89?cid=9950ac751e34487dbbe027c4fd7f8e99,False,66,USUM70965164
spotify:track:6FmtB3SLE6eqb24VfMnH4z,Round Round,spotify:album:38oLAYrpyuLO8RchXHUzyz,1,3,237053,,False,0,GBAAN0201114
spotify:track:1lItf5ZXJc1by9SbPeljFd,Juju on That Beat (TZ Anthem),spotify:album:5sQTfUX9uSwfCtPiYGO20V,1,1,144244,https://p.scdn.co/mp3-preview/69045952c8eea22dbb74b62ab8a404c92e6f14fe?cid=9950ac751e34487dbbe027c4fd7f8e99,False,61,USAT21602928
spotify:track:0WfKDYeUAoLA3vdvLKKWMW,Poker Face,spotify:album:2FBA8NCSuQNi8jaR2Xjbal,1,4,237200,,False,0,USUM70824409
spotify:track:3q2gRjU2UdOYRDY1p4cNHr,It Must Be Love,spotify:album:5TdKeSLPSowWxKkenaEK04,1,20,206266,https://p.scdn.co/mp3-preview/8440b95f731d418fff03236f882cf0c35806c140?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,GB7GZ0900018
spotify:track:2RMeGXGofxpGolBUyvTnZf,The Wild Colonial Boy,spotify:album:4z6lzPnxVfkCibGIbPuIuu,1,41,266669,https://p.scdn.co/mp3-preview/08c5899fbcd95e4a82eaa726b61abee1979b3d2e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,19,GBUM71302541
spotify:track:6j4cO3gMhTuG9GTmdUX7op,You Talk Too Much,spotify:album:4JDH8EfRq4DZNqkY42IW8Y,1,1,152706,https://p.scdn.co/mp3-preview/fb7c8f04b961f704450f6e24892fd80f389e0bfc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,13,USA561018172
spotify:track:2YGFjCtEo5hhNutCO8RdQf,Can't Get Enough Of You Baby,spotify:album:44zMHQz2GkFUEifL4DuDNY,1,10,151106,,False,0,USIR19902230
spotify:track:1Co9NGodpCCvWuIfe0PzIS,One In A Million,spotify:album:68SzmgbXOVkYdNvvt6lpRW,1,1,178424,https://p.scdn.co/mp3-preview/c1d3ddc5ede970d8eeab75ab97bb134099e95504?cid=9950ac751e34487dbbe027c4fd7f8e99,False,27,AUUM71800336
spotify:track:0hKF8N8aflF1uDzEEnPr2j,Life Is A Highway,spotify:album:5mJYFwj51OpBqRSxZCBLTT,1,1,266560,https://p.scdn.co/mp3-preview/d29ac326f3325272a4f514ee631266c334bdd72a?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,CAE159100001
spotify:track:76cy1WJvNGJTj78UqeA5zr,IDGAF,spotify:album:01sfgrNbnnPUEyz6GZYlt9,1,5,217946,https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=9950ac751e34487dbbe027c4fd7f8e99,True,83,GBAHT1600301
spotify:track:6bH2owMgMDNW6zygbotS49,As Long as You Love Me,spotify:album:5oEljuMoe9MXH6tBIPbd5e,1,2,221106,,False,0,USJI19710094
spotify:track:5U2m76qAMdr3gXI0g6ptlG,Come & Get It,spotify:album:4MGDyHLc9ctHHiX4wCn1tV,1,5,231986,,False,0,USHR11334422
spotify:track:0k2GOhqsrxDTAbFFSdNJjT,Temperature,spotify:album:32Bu3ETQhR1PFCj3ndDlYf,1,11,218573,https://p.scdn.co/mp3-preview/fd0b2beda757e9b8dcaf04e71c1d6cada0659765?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USAT20505520
spotify:track:5wzEKaovqFK2LXKKzScukl,Philadelphia Freedom,spotify:album:7bcUz60MilxMGurjN2T5nS,1,13,321933,,False,0,GBAMB7500013
spotify:track:7z73ehYAn9O1XP9XlCqVtd,Who Dat Girl (feat. Akon),spotify:album:1TwNATuAqnNjTd5BSvFZlS,1,4,200880,https://p.scdn.co/mp3-preview/8f1a531b320c5ee9c008a6245b68f77ab6dfbfc2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,60,USAT21002400
spotify:track:33XpXmKmVTopPKnxTgbVOD,True Colours,spotify:album:5edluM30Us1pl4LA8umamH,1,10,225960,,False,0,AUEM00200340
spotify:track:093UVG0vgKjxj4UDjLIulw,Set Adrift On Memory Bliss,spotify:album:6eUVsZ7movjdgq0PB0hvSW,1,10,211661,https://p.scdn.co/mp3-preview/a7fefb3f5ffce7b7b45851357e12292e96f02a03?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,FR8GV1838620
spotify:track:043bfUkTydw0xJ5JjOT91w,Don't You Worry Child,spotify:album:4ljisoNarj0BpQSMIEv88L,1,7,403493,https://p.scdn.co/mp3-preview/abae7ffcd8c653c8500f5698a5b94b715a455fb6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,65,GBAAA1200643
spotify:track:4qjrCkcVbsYlitCqbBkeKe,Colors Of The Wind - End Title,spotify:album:4ddvFk8agFfRkkcVwR8sJH,1,27,257933,https://p.scdn.co/mp3-preview/ad1718d5961edd4b05fd61c175abf0246f6b22d7?cid=9950ac751e34487dbbe027c4fd7f8e99,False,54,USWD10110149
spotify:track:2EcsgXlxz99UMDSPg5T8RF,Beneath Your Beautiful (feat. Emeli Sandé),spotify:album:6PBBbXmYV7dKnaik0fjkOI,1,7,271813,https://p.scdn.co/mp3-preview/f34a73c3e81e50bcf7e2d1923b8a9407ab07538e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,GBHMU1200008
spotify:track:2Gy7qnDwt8Z3MNxqat4CsK,Wouldn't It Be Nice,spotify:album:6GphKx2QAPRoVGWE9D7ou8,1,15,153205,https://p.scdn.co/mp3-preview/4ea74155d6f9a3c0f93f8fc06aac20c3d962c894?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USCA20000220
spotify:track:5id3Rqn7SPj1LX4FfY4nGz,Together,spotify:album:4TM7wmWEakp4xk1ZffVkL8,1,1,205207,https://p.scdn.co/mp3-preview/760983d5786a1b41f4b4c937c4e80e77bc58416b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,USAT22001187
spotify:track:0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,spotify:album:7i3ZUKLj6bszovw4IfRECy,1,1,195986,https://p.scdn.co/mp3-preview/58b317d9747108381887d51e6f80034836bf4efc?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,USCA21100463
spotify:track:0CsM8VGDi38kusMv3pxyj1,True - Single Edit,spotify:album:2ZcceaFPxi5CuqoBUfedKn,1,1,329146,https://p.scdn.co/mp3-preview/b42f91b402e4ca4141a48177712aac6b2f7838c5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,73,GBAYK8300004
spotify:track:5TvFfDlVoUWZvfqrhTJzD7,One,spotify:album:1xn54DMo2qIqBuMqHtUsFd,1,1,252760,https://p.scdn.co/mp3-preview/9a27ec964aaa90ead0b17b558161230ba82e16d2?cid=9950ac751e34487dbbe027c4fd7f8e99,False,64,GBAHS1400092
spotify:track:6uBhi9gBXWjanegOb2Phh0,Stay,spotify:album:1I4W7JKzYbl8VKRfD61DIS,1,1,210090,https://p.scdn.co/mp3-preview/264d0f4ee99b296da9d43c4ddd0ffa265c25b247?cid=9950ac751e34487dbbe027c4fd7f8e99,False,79,USUM71700736
